"id","city","company","name","type","prod","type_ru","lat","long","out","name_en"
99,"Муравленко","АО «Газпромнефть-Ноябрьскнефтегаз»","Суторминское месторождение","oil-gas","","нефтегазовое",63.77095,74.68643,"/oil-gas-field/sutorminskoye","Sutorminskoye"
100,"Муравленко","АО «Газпромнефть-Ноябрьскнефтегаз»","Муравленковское месторождение","gas-oil","","газонефтяное",63.99523,74.88418,"/oil-gas-field/muravlenkovskoye","Muravlenkovskoye"
101,"Губкинский","ПАО ""НК ""РОСНЕФТЬ""","Ново-Пурпейское месторождение","oil","","нефтяное",64.18665,75.42251,"/oil-gas-field/novo-purpeiskoe","Novo Purpeiskoe"
102,"Муравленко","АО «Газпромнефть-Ноябрьскнефтегаз»","Умсейское месторождение","oil-gas-condensate","","нефтегазоконденсатное",64.14895,74.47357,"/oil-gas-field/usmeiskoe","Usmeiskoe"
103,"Муравленко","АО «Газпромнефть-Ноябрьскнефтегаз»","Северо-Янгтинское месторождение","oil-gas","","нефтегазовое",64.2422,74.93499,"/oil-gas-field/severo-yangtinskoe","Severo Yangtinskoe"
104,"Муравленко","АО «Газпромнефть-Ноябрьскнефтегаз»","Северо-Памалияхское","oil","","нефтяное",64.00245,74.24697,"/oil-gas-field/severo-pamalihinskoe","Severo Pamalihinskoe"
105,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Карамовское месторождение","oil","","нефтяное",63.24723,74.56146,"/oil-gas-field/karamovskoe","Karamovskoe"
106,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Пограничное месторождение","oil","","нефтяное",62.89146,75.2481,"/oil-gas-field/pogranichnoe","Pogranichnoe"
107,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Средне-Итурское месторождение","oil","","нефтяное",63.40689,74.78118,"/oil-gas-field/sredne-iturskoe","Sredne Iturskoe"
108,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Западно-Ноябрьское месторождение","oil","","нефтяное",63.44498,74.99679,"/oil-gas-field/zapadno-noyabrskoe","Zapadno Noyabrskoe"
109,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Новогоднее месторождение","oil","","нефтяное",63.44437,76.92901,"/oil-gas-field/novogodnee","Novogodnee"
110,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Ярайнерское месторождение","oil","","нефтяное",63.14939,77.83264,"/oil-gas-field/yarainerskoye","Yarainerskoye"
111,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Холмистое месторождение","oil-gas","","нефтегазовое",63.23115,80.06835,"/oil-gas-field/holmistoe","Holmistoe"
112,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Чатылькинское месторождение","oil","","нефтяное",63.44621,80.98297,"/oil-gas-field/chatylkinskoe","Chatylkinskoe"
113,"Ноябрьск","АО «Газпромнефть-Ноябрьскнефтегаз»","Воргенское месторождение","oil","","нефтяное",63.16613,81.21917,"/oil-gas-field/vorgenskoye","Vorgenskoye"
114,"Оренбург","ООО «Газпромнефть-Оренбург»","Оренбургское месторождение (Восточный участок)","oil-gas-condensate","","нефтегазоконденсатное",51.63762,55.40817,"/oil-gas-field/orenburgskoe","Orenburgskoe"
117,"Ханты-Мансийск","ПАО ""НК ""РОСНЕФТЬ""","Приобское месторождение (северная лицензионная территория (СЛТ))","oil","","нефтяное",61.323656,70.298767,"/oil-gas-field/priobskoe-north","Priobskoe North"
118,"Самара","АО ""Самаранефтегаз""","Южно-Орловское месторождение","oil","","нефтяное",53.713574,50.809364,"/oil-gas-field/yzhno-orlovskoe","Yzhno Orlovskoe"
119,"Ижевск","ОАО ""Удмуртнефть""","Архангельское месторождение","oil","","нефтяное",56.717696,52.534218,"/oil-gas-field/arhangelskoe","Arhangelskoe"
120,"Киенгоп","ОАО ""Удмуртнефть""","Киенгопское месторождение","oil","","нефтяное",57.26902,53.361969,"/oil-gas-field/kiengopskoe","Kiengopskoe"
121,"Игра","ОАО ""Удмуртнефть""","Чутырское месторождение","oil","","нефтяное",57.678457,52.932129,"/oil-gas-field/chutirskoe","Chutirskoe"
122,"Кунгур","ООО ""ЛУКОЙЛ-ПЕРМЬ""","Ильичевское месторождение","oil","","нефтяное",57.936771,56.842918,"/oil-gas-field/illichivskoe","Illichivskoe"
123,"Нижневартовск","АО «Томскнефть» ВНК","Западно-Полуденное месторождение","oil","","нефтяное",60.574151,76.500549,"/oil-gas-field/zapadno-poludennoe","Zapadno Poludennoe"
124,"Новый Уренгой","АО ""Мессояханефтегаз""","Западно-Мессояхское месторождение","oil-gas","","нефтегазовое",68.494467,78.364277,"/oil-gas-field/zapadno-messoyakhskoye","Zapadno Messoyakhskoye"
125,"Новый Уренгой","АО ""Мессояханефтегаз""","Восточно-Мессояхское месторождение","oil-gas","","нефтегазовое",68.510571,79.748554,"/oil-gas-field/vostochno-messoyakhskoye","Vostochno Messoyakhskoye"
126,"Сабетта","ОАО ""Ямал СПГ""","Южно-Тамбейское месторождение","gas-condensate","","газоконденсатное",71.309156,71.858826,"/oil-gas-field/yuzhno-tambeyskoye","Yuzhno Tambeyskoye"
127,"Юрхарово","АО «Нортгаз»","Северо-Уренгойское месторождение","gas-condensate","","газоконденсатное",67.512771,76.637878,"/oil-gas-field/severo-urengoyskoe","Severo Urengoyskoe"
128,"Юрхарово","ООО «НОВАТЭК-ЮРХАРОВНЕФТЕГАЗ»","Юрхаровское месторождение","oil-gas-condensate","","нефтегазоконденсатное",67.785892,77.052612,"/oil-gas-field/yurkharovskoye","Yurkharovskoye"
129,"Тарко-Сале","ООО «НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ»","Восточно-Таркосалинское месторождение","oil-gas-condensate","","нефтегазоконденсатное",65.025785,78.189697,"/oil-gas-field/east-tarkosalinskoye","East Tarkosalinskoye"
130,"Тарко-Сале","ООО «НОВАТЭК-ТАРКОСАЛЕНЕФТЕГАЗ»","Ханчейское месторождение","gas-condensate","","газоконденсатное",64.949721,78.398438,"/oil-gas-field/khancheyskoye","Khancheyskoye"
131,"Новый Уренгой","ОАО ""Арктикгаз"" (""АРКТИЧЕСКАЯ ГАЗОВАЯ КОМПАНИЯ"")","Самбургский лицензионный участок (Самбургское месторождение)","gas-condensate","","газоконденсатное",66.549971,77.19389,"/oil-gas-field/samburg-license-area","Samburg License Area"
